hospital loginc distance  dropout college group
0 4.330733 1.7 0 1 1
0 5.616771 7.9 0 0 2
1 5.298317 1.8 0 0 2
0 3.850148 6.2 0 0 2
1 7.41758 1 0 0 2
0 4.553877 4.8 0 0 2
1 5.278115 1.8 0 1 3
0 4.382027 3.7 0 0 4
1 5.129899 10.6 0 0 4
1 3.931826 3.2 0 0 4
0 5.247024 3.1 0 0 4
1 6.990257 0.7 0 0 5
1 5.771441 3.4 0 0 5
1 7.705713 0.6 0 0 5
0 3.610918 2 1 0 6
0 6.652863 3 0 0 7
0 7.628031 7.9 0 0 7
0 7.45008 1.8 0 0 8
0 5.857933 4.1 0 0 8
0 7.152269 4 0 0 8
1 5.669881 1.7 0 0 9
1 6.124683 9.4 0 0 10
0 4.276666 5 0 0 11
0 4.962845 4.2 0 0 11
0 3.806662 5.8 0 0 12
1 7.691657 2.3 1 0 13
0 5.855072 2.2 0 0 14
1 7.123673 8.4 0 1 15
1 4.867534 1.8 0 1 15
0 8.014336 7.1 0 0 16
0 7.280697 3.4 0 0 16
1 8.679482 2.5 0 0 16
1 6.381816 4.9 0 0 17
1 6.2186 4.9 0 0 18
0 6.403574 5.2 0 0 18
0 6.813445 6 0 0 18
0 6.73578 6.8 0 0 18
0 7.470794 0.6 0 0 18
0 3.871201 5 0 0 18
1 4.770685 2.7 0 0 18
0 3.89182 7.7 0 0 19
0 6.194405 3.8 0 0 19
1 5.641907 8.8 0 0 19
0 7.033506 3.1 0 0 19
1 7.015712 5.3 1 0 20
0 4.219508 3.6 1 0 21
0 4.976734 3.8 0 0 22
0 4.204693 1.2 1 0 23
0 8.310169 5.8 1 0 23
0 5.159055 8 1 0 23
0 6.59987 1.1 1 0 23
0 7.822445 1.7 1 0 23
0 6.098074 3.6 1 0 23
0 7.347944 2.6 1 0 23
0 5.817111 5.6 1 0 24
1 4.60517 0.8 0 0 25
1 5.948035 2.2 0 0 25
0 3.555348 10.6 0 0 26
0 2.639057 3.4 1 0 27
1 8.34141 0.9 1 0 27
1 7.509883 1.9 1 0 27
0 5.347108 3.4 1 0 27
1 6.156979 12.3 1 0 28
0 5.752573 4.7 1 0 28
0 7.737616 4.8 1 0 28
0 4.553877 0.3 1 0 29
1 7.774856 0.9 1 0 29
0 7.5984 2.9 0 0 30
0 6.943122 2.3 1 0 31
0 6.269096 8.7 0 0 32
0 7.041412 4.8 0 0 33
0 5.517453 2.3 1 0 34
0 7.111512 4.7 1 0 35
1 4.70953 1.2 0 1 36
1 7.077498 2.1 1 0 37
0 5.384495 6.4 1 0 37
1 6.622736 3.3 1 0 37
1 6.025866 2.9 1 0 37
0 3.931826 10.8 1 0 37
0 5.53339 4.4 1 0 37
1 3.970292 4.8 1 0 38
0 4.795791 2.7 1 0 38
1 4.343805 2 0 1 39
1 4.85203 5.5 0 1 39
1 6.870053 1.9 1 0 40
1 6.842683 3 1 0 40
1 5.609472 10.5 1 0 40
1 4.025352 0.6 1 0 40
1 7.280008 2.5 1 0 40
1 6.36647 2.5 0 0 41
0 3.871201 4.2 1 0 42
0 6.641182 1.1 1 0 42
1 7.095893 1.4 1 0 42
0 5.537334 2.4 1 0 43
0 5.010635 3 1 0 43
0 4.143135 2.4 1 0 43
0 5.225747 1.2 1 0 43
1 6.530878 1.2 0 1 44
1 5.411646 6.9 0 1 44
1 6.858565 2.3 0 1 44
0 4.543295 6.1 0 1 44
0 7.190676 8.5 0 1 44
0 5.863631 2.8 0 1 44
1 3.178054 2.3 0 1 44
1 5.924256 5.3 0 0 45
0 3.737670 4.4 0 0 45
0 6.028279 2.8 1 0 46
0 5.855072 4.9 1 0 47
0 6.744059 3.3 1 0 47
0 4.394449 0.6 1 0 47
0 6.685861 7.3 1 0 47
0 3.970292 2.5 0 0 48
0 2.890372 1.1 0 0 48
0 4.143135 3.3 0 0 49
1 9.063116 3 1 0 50
0 4.406719 2.9 1 0 51
0 4.394449 13.1 0 0 52
1 6.359574 1.6 0 1 53
0 5.236442 1.2 1 0 54
0 4.85203 2 1 0 55
0 9.642967 1.3 1 0 55
0 5.758902 6 1 0 55
0 5.446737 3.2 1 0 55
0 7.226209 5.8 1 0 55
0 5.204007 0.5 1 0 56
0 6.066108 6.8 1 0 56
0 7.545918 3.7 1 0 56
0 6.957497 1.6 1 0 56
0 5.356586 2 1 0 56
0 5.556828 2.8 0 0 57
1 6.428105 1.8 1 0 58
0 3.89182 5.5 0 0 59
0 6.39693 0.9 1 0 60
1 6.32615 2.2 0 0 61
1 3.610918 1.1 0 0 61
0 7.086738 3.3 0 0 61
1 6.873164 6 0 0 61
1 5.53339 1.5 0 0 61
0 4.795791 6.1 0 0 61
1 5.42495 0.8 0 0 61
